uniqueid,forecasting,tool tip,node name,Category,delta,Aug-10,Monthly,,,,,,,,,,,,,,,,,,,,
Subaru_Impreza_Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6_Financing_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6_Financing_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Financing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6_GiftCard_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6_GiftCard_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:GiftCard,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6_Pack_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6_Pack_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Pack,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6_ReducedPricing_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6_ReducedPricing_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:ReducedPricing,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6_RoadsideAssist_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6_RoadsideAssist_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:RoadsideAssist,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6_Sale_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6_Sale_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Sale,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6_Servicing_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6_Servicing_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Servicing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6_Warranty_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6_Warranty_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Warranty,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_CashBack_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_CashBack_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:Impreza:CashBack,0.5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_Demonstrator_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_Demonstrator_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:Impreza:Demonstrator,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_Driveaway_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_Driveaway_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_Driveaway_Pricing_DA,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_Driveaway_Pricing_DA,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway_Pricing_DA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_FactoryBonus_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_FactoryBonus_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:Impreza:FactoryBonus,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_Financing_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_Financing_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:Impreza:Financing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_GiftCard_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_GiftCard_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:Impreza:GiftCard,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_LimitedEdition_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_LimitedEdition_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:Impreza:LimitedEdition,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_OnRoads_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_OnRoads_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:Impreza:OnRoads,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_Pack_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_Pack_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:Impreza:Pack,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_RoadsideAssist_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_RoadsideAssist_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:Impreza:RoadsideAssist,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_Sale_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_Sale_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:Impreza:Sale,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_Servicing_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_Servicing_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:Impreza:Servicing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_Warranty_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C_Warranty_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:Impreza:Warranty,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_CashBack_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_CashBack_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:CashBack,0.5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_Demonstrator_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_Demonstrator_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Demonstrator,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_Driveaway_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_Driveaway_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_Driveaway_Pricing_DA,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_Driveaway_Pricing_DA,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway_Pricing_DA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_FactoryBonus_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_FactoryBonus_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:FactoryBonus,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_Financing_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_Financing_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Financing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_GiftCard_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_GiftCard_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:GiftCard,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_LimitedEdition_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_LimitedEdition_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:LimitedEdition,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_Pack_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_Pack_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Pack,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_RoadsideAssist_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_RoadsideAssist_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:RoadsideAssist,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_Sale_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_Sale_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Sale,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_Servicing_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_Servicing_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Servicing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_Warranty_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6_Warranty_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_L_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Warranty,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_CashBack_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_CashBack_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:CashBack,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_Demonstrator_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_Demonstrator_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Demonstrator,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_Driveaway_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_Driveaway_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_Driveaway_Pricing_DA,,Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_Driveaway_Pricing_DA,Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway_Pricing_DA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_Driveaway_Pricing_RRP,,Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_Driveaway_Pricing_RRP,Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway_Pricing_RRP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_FactoryBonus_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_FactoryBonus_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:FactoryBonus,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_Financing_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_Financing_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Financing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_GiftCard_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_GiftCard_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:GiftCard,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_LimitedEdition_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_LimitedEdition_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:LimitedEdition,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_Pack_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_Pack_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Pack,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_RoadsideAssist_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_RoadsideAssist_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:RoadsideAssist,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_Sale_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_Sale_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Sale,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_Servicing_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_Servicing_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Servicing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_Warranty_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6_Warranty_No_of_Offers_Make_Model_Grade,Hatchback_2_0i_S_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Warranty,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5_Accessories_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5_Accessories_No_of_Offers_Make_Model_Grade,Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Accessories,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5_CashBack_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5_CashBack_No_of_Offers_Make_Model_Grade,Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:CashBack,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5_Demonstrator_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5_Demonstrator_No_of_Offers_Make_Model_Grade,Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Demonstrator,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5_Driveaway_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5_Driveaway_No_of_Offers_Make_Model_Grade,Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5_Driveaway_Pricing_DA,,Subaru_Impreza_Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5_Driveaway_Pricing_DA,Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway_Pricing_DA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5_FactoryBonus_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5_FactoryBonus_No_of_Offers_Make_Model_Grade,Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:FactoryBonus,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5_Financing_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5_Financing_No_of_Offers_Make_Model_Grade,Hatchback_R_Special_Edition_AWD_2L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Financing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
